Date,Product,Region,Sales
2024-01-01,Mobile,North,20000
2024-01-02,Laptop,South,35000
2024-01-03,Tablet,East,15000
2024-01-04,Mobile,West,22000
2024-01-05,Laptop,North,40000
2024-01-06,Tablet,South,18000
2024-01-07,Mobile,East,25000
2024-01-08,Laptop,West,37000
2024-01-09,Tablet,North,16000
2024-01-10,Mobile,South,24000
2024-01-11,Laptop,East,39000
2024-01-12,Tablet,West,17000
2024-01-13,Mobile,North,26000
2024-01-14,Laptop,South,42000
2024-01-15,Tablet,East,19000
2024-01-16,Mobile,West,23000
2024-01-17,Laptop,North,41000
2024-01-18,Tablet,South,20000
2024-01-19,Mobile,East,27000
2024-01-20,Laptop,West,38000
